stazione,idStazione,idRegione
BAGNARIA ARSA,S03123,Friuli-Venezia Giulia
BAGNASCO,S00921,Piemonte
BAGNI DI LUCCA,S06308,Toscana
BAGNI DI TIVOLI,S08504,Lazio
BAGNOLI AGNANO TERME,S09102,Campania
BAGNOLI IRPINO,S09613,Campania
BAGNOLO MELLA,S01901,Lombardia
BAIANO DI SPOLETO,S07224,Umbria
BALANGERO,S00094,
BALATONFOELDVAR,S03418,
BALATONLELLE,S03459,
BALATONSZENTGYORGY,S03566,
BALDICHIERI,S00460,Piemonte
BALESTRATE,S12122,Sicilia
BALSORANO,S08856,Abruzzo
BALVANO R.,S09830,Basilicata
BALZOLA,S00178,Piemonte
BANDITO,S00732,Piemonte
BARAGIANO,S09832,Basilicata
BARANELLO,S09458,Molise
BARASSO - COMERIO,N00027,
BARBERINO VAL D`ELSA,S06806,
BARBIANELLO,S01932,Lombardia
BARBIANO,S05905,Emilia Romagna
BARBUSI,S12971,Sardegna
BARCELLONA,S12041,Sicilia
BARDONECCHIA,S00202,Piemonte
BARGA GALLICANO,S06303,Toscana
BARI PALESE MACCHIE,S11118,Puglia
BARI PARCO NORD,S11148,Puglia
BARI PARCO NORD FASCIO TARANTO,S11149,
BARI PARCO SUD,S11125,Puglia
BARI S. SPIRITO,S11116,Puglia
BARI S.ANDREA,S11513,Puglia
BARI S.GIORGIO,S11150,Puglia
BARI TORRE A MARE,S11126,Puglia
BARICETTA,S05419,Veneto
BARILE,S11208,Basilicata
BARLASSINA,S01926,
BARLETTA,S11108,Puglia
BARONISSI,S09520,Campania
BARRUCCANA,S01929,
BASCHI-MONTECCHIO,S08204,Umbria
BASILIANO,S02832,Friuli-Venezia Giulia
BASSANO DEL GRAPPA,S02520,Veneto
BASSANO IN TEVERINA,S08208,Umbria
BASSANO ROMANO,S08312,Lazio
BASTIA,S07007,Umbria
BASTIA MONDOVI`,S00908,Piemonte
BATTAGLIA TERME,S05702,Veneto
BATTIPAGLIA,S09823,Campania
BAULADU MILIS,S12875,Sardegna
BAVENO,S01015,Piemonte
BAZZANA,S00807,Piemonte
BEAULARD,S00203,Piemonte
BEFFI,S07422,Abruzzo
BEINETTE,S00901,Piemonte
BELGIOIOSO,S01864,Lombardia
BELGIRATE,S01017,Piemonte
BELLA MURO,S09831,Basilicata
BELLANO TARTAVELLE TERME,S01409,Lombardia
BELLANTE RIPATTONE,S07902,Abruzzo
BELLARIA,S05817,Emilia Romagna
BELLAVISTA,S11512,Puglia
BELLINZAGO,S00985,Piemonte
BELLINZONA,S00300,
BELLISIO SOLFARE,S07061,Marche
BELLUNO,S02559,Veneto
BELMONTE CALABRO,S11743,Calabria
BELVEDERE MARITTIMO,S11732,Calabria
BENEVENTO,S09311,Campania
BENEVENTO ACQUAFREDDA,S09472,
BENEVENTO APPIA,S09011,
BENEVENTO ARCO TRAIANO,S09530,Campania
BENEVENTO PORTA RUFINA,S09509,Campania
BENEVENTO RIONE LIBERTA',S09012,
BERCETO,S06158,Emilia Romagna
BERCHIDDA,S12859,Sardegna
BERGAMASCO,S00838,Piemonte
BERGAMO,S01529,Lombardia
BERNALDA,S11460,Basilicata
BESANA,S01488,Lombardia
BESNATE,S01145,Lombardia
BESOZZO,S01141,Lombardia
BEURA CARDEZZA,S01007,Piemonte
BEVERA,S04482,Liguria
BEVILACQUA,S02391,Veneto
BIAGIONI LAGACCI,S05119,Emilia Romagna
BIANCO,S11855,Calabria
BIANZE`,S00238,Piemonte
BIANZONE,S01438,Lombardia
BIASSONO-LESMO PARCO,S01483,Lombardia
BIBBIENA,S06076,
BIBBIENA CORSALONE,S06077,
BIBIANA,S00522,Piemonte
BICOCCA,S12338,Sicilia
BIELLA CHIAVAZZA,S00970,Piemonte
BIELLA S.PAOLO,S00070,Piemonte
BIFORCO,S06611,Toscana
BINARIO S.MARCO VECCHIO,S06950,Toscana
BISCEGLIE,S11113,Puglia
BISTAGNO,S00870,Piemonte
BISUSCHIO VIGGIU,S01202,Lombardia
BITETTO PALO DEL COLLE,S11501,Puglia
BIVIO D`AURISINA,S03313,Friuli-Venezia Giulia
BOARIO TERME,N00221,
BOCCIA AL MAURO,S09763,Campania
BOGLIASCO,S04709,Liguria
BOIANO,S09453,Molise
BOLGHERI,S06028,Toscana
BOLLATE CENTRO,S01071,
BOLLATE NORD,S01072,
BOLOGNA BORGO PANIGALE,S05100,Emilia Romagna
BOLOGNA C.LE/AV,S05046,Emilia Romagna
BOLOGNA CORTICELLA,S05725,Emilia Romagna
BOLOGNA FIERE,S05020,Emilia Romagna
BOLOGNA MAZZINI,S05140,Emilia Romagna
BOLOGNA RAVONE,S05042,Emilia Romagna
BOLOGNA S.RUFFILLO,S05130,Emilia Romagna
BOLOGNA SAN VITALE,S05081,
"BOLZANO ",S02026,Trentino Alto Adige
BOLZANO NOVARESE,S00014,Piemonte
"BOLZANO SUD ",S02226,Trentino Alto Adige
BOMBA TORRICELLA,S07993,
BONASSOLA,S04730,Liguria
BONDENO,S05165,
BONEFRO S.CROCE,S09464,Molise
BONFERRARO,S02383,Veneto
BONORVA,S12867,Sardegna
BORDIGHERA,S04503,Liguria
BORGARO,S00086,
BORGHETTO,S02051,Trentino Alto Adige
BORGHETTO PARMENSE,S06100,Emilia Romagna
BORGHETTO SANTO SPIRITO,S04518,Liguria
BORGIO VEREZZI,S04521,Liguria
BORGO,S09526,Campania
BORGO A BUGGIANO,S06410,Toscana
BORGO A MOZZANO,S06309,Toscana
BORGO FORNARI PER VOLTAGGIO,S04214,Liguria
BORGO LAVEZZARO,S00032,Piemonte
BORGO REVEL,S00171,Piemonte
BORGO S. GIOVANNI,N00202,
BORGO S. LORENZO,S06604,Toscana
BORGO S.L.RIMORELLI,S06704,Toscana
BORGO S.MARTINO,S00315,Piemonte
BORGO SAN DALMAZZO,S00613,Piemonte
BORGO TICINO,S00981,Piemonte
BORGO VAL DI TARO,S06161,Emilia Romagna
BORGO VALSUGANA CENTRO,S02313,Trentino Alto Adige
BORGO VALSUGANA EST,S02314,Trentino Alto Adige
BORGO VERCELLI,S00246,Piemonte
BORGOFORTE,S02338,Lombardia
BORGOFRANCO,S00152,Piemonte
BORGOLOMBARDO,S01830,Lombardia
BORGOMANERO,S00016,Piemonte
BORGONATO - ADRO,N00208,
BORGONE,S00210,Piemonte
BORGONUOVO,S05152,
BORGORATTO,S00860,Piemonte
BORGOSESIA,S00104,Piemonte
BORNATO - CALINO,N00207,
BORORE,S12872,Sardegna
BOSCHI S.ANNA,S02390,Veneto
BOSCO REDOLE,S09452,Molise
BOSCONERO,S00882,
BOSCOREALE,S09754,Campania
BOTRICELLO,S11829,Calabria
BOTTENICCHIO Z.I.,S03057,
BOVA MARINA,S11860,Calabria
BOVALINO,S11854,Calabria
BOVINO DELICETO,S09321,Puglia
BOVISO MASCIAGO - MOMBELLO,S01085,
BOVOLONE,S02363,Veneto
BOZZOLO,S01920,Lombardia
BRA,S00821,Piemonte
BRACCIANO,S08315,Lazio
BRAGNO,S04803,Liguria
BRANCALEONE,S11857,Calabria
BRANDIZZO,S00231,Piemonte
BREIL SUR ROYA,S00622,Piemonte
BRENNA-ALZATE,S01452,Lombardia
BRENNERO,S02001,Trentino Alto Adige
BRENO,N00226,
BRESCIA,S01717,Lombardia
BRESSANA ARGINE,S01930,Lombardia
BRESSANA BOTTARONE,S01805,Lombardia
BRESSANONE,S02014,Trentino Alto Adige
BRIATICO,S11757,Calabria
BRICHERASIO,S00521,Piemonte
BRINDISI,S11136,Puglia
BRINDISI DI MONTAGNA,S11451,Basilicata
BRINDISI MARITTIMA,S11137,Puglia
BRIONA,S00113,Piemonte
BRISIGHELLA,S06614,Emilia Romagna
BROLO FICARRA,S12031,Sicilia
BRONI,S01944,Lombardia
"BRONZOLO ",S02030,Trentino Alto Adige
BROZOLO,S00424,Piemonte
"BRUNICO ",S02107,Trentino Alto Adige
BRUNICO NORD,S02018,
BRUNO,S00837,Piemonte
BRUZOLO,S00209,Piemonte
BUCCINO S.,S09828,Campania
BUCINE,S06911,Toscana
BUDOIA POLCENIGO,S03088,Friuli-Venezia Giulia
BUGNARA,S08538,Abruzzo
BUONCONVENTO,S06874,Toscana
BUONFORNELLO,S12016,Sicilia
BURONZO,S00054,Piemonte
BUSALLA,S04215,Liguria
BUSCA,S00704,Piemonte
BUSCHE LENTIAI MEL,S02563,Veneto
BUSSETO,S01963,Emilia Romagna
BUSSI,S07704,Abruzzo
BUSSOLENO,S00208,Piemonte
BUSTO ARSIZIO,S01031,Lombardia
BUSTO ARSIZIO N.,S01137,
BUSTO ARSIZIO RFI,N00107,
BUTTAFAVA,S01482,Lombardia
BUTTAPIETRA,S05301,Veneto
BUTTRIO,S03029,Friuli-Venezia Giulia
Biv. Venezia,S05048,
CABIATE,S01088,
CADEO,S05006,Emilia Romagna
CADORAGO,N00038,
CAGLIARI,S12891,Sardegna
CAGLIARI ELMAS,S12890,Sardegna
CAIAZZO,S09025,
CAIRO MONTENOTTE,S00879,Liguria
CALA SABINA,S12851,Sardegna
CALALZO PIEVE CADORE CORTINA,S02550,Veneto
CALAMANDRANA,S00833,Piemonte
CALATABIANO,S12321,Sicilia
CALATAFIMI,S12151,Sicilia
CALBEZANO,S06080,
CALCERANICA,S02307,Trentino Alto Adige
CALCIANO,S11455,Basilicata
CALCIO,S01712,Lombardia
CALDE`,S01117,Lombardia
CALDIERO,S02437,Veneto
CALDONAZZO,S02308,Trentino Alto Adige
CALENZANO,S06417,Toscana
CALITRI PESCOPAGANO,S09620,Campania
CALLIANO,S02041,
CALOLZIOCORTE OLGINATE,S01524,Lombardia
CALOPEZZATI,S11815,Calabria
CALTAGIRONE,S12270,Sicilia
CALTANISSETTA CENTRALE,S12381,Sicilia
CALTANISSETTA XIRBI,S12380,Sicilia
CALTIGNAGA,S00020,Piemonte
CALUSCO,S01503,Lombardia
CALUSO,S00158,Piemonte
CALVISANO,S01843,Lombardia
CAMAIORE LIDO CAPEZZANO,S06043,Toscana
CAMBIANO,S06804,Toscana
CAMBIANO SANTENA,S00456,Piemonte
CAMERANO ASPIO,S07021,
CAMMARATA S.GIOVANNI GEMINI,S12207,Sicilia
CAMNAGO-LENTATE,S01316,Lombardia
CAMOGLI SAN FRUTTUOSO,S04716,Liguria
CAMPAGNA SERRE PERSANO,S09825,Campania
CAMPELLO,S07219,Umbria
CAMPIGLIA MARITTIMA,S06031,Toscana
CAMPO DI CARNE,S08706,Lazio
CAMPO DI GIOVE,S08903,Abruzzo
CAMPO DI GIOVE-MONTE MAIELLA,S08919,Abruzzo
CAMPO DI NUSCO,S09626,Campania
"CAMPO DI TRENS ",S02007,Trentino Alto Adige
CAMPOBASSO,S09459,Molise
CAMPOBELLO DI MAZARA,S12112,Sicilia
CAMPOBELLO RAVANUSA,S12385,Sicilia
CAMPODARSEGO,S02527,Veneto
CAMPOFELICE,S12017,Sicilia
CAMPOFRANCO,S12211,Sicilia
CAMPOLATTARO,S09505,Campania
CAMPOLEONE,S08602,Lazio
CAMPOLIETO MONACILIONI,S09462,Molise
CAMPOLIGURE MASONE,S04105,Liguria
CAMPOMAGGIORE,S11454,Basilicata
CAMPOMARINO,S11020,Molise
CAMPOMELA,S12815,Sardegna
CAMPOMIGLIAIO,S06659,Toscana
CAMPORA S.GIOV. SERRA AIELLO,S11745,Calabria
CAMPORE,S00889,
CAMPORGIANO,S06324,Toscana
CAMPOSAMPIERO,S02525,Veneto
CAMPOSANTO,S05314,Emilia Romagna
CAMUCIA CORTONA,S06921,Toscana
CANCELLI DI FABRIANO,S07232,
CANCELLIERA,S08735,Lazio
CANCELLO,S09213,Campania
CANCELLO ARNONE,S09002,Campania
CANDELA,S11204,Puglia
CANDELO,S00071,Piemonte
CANDIA CANAVESE,S00157,Piemonte
CANDIA LOMELLINA,S00333,Lombardia
CANDIDA,S11105,Puglia
CANDIOLO,S00512,Piemonte
CANDOGLIA ORNAVASSO,S01011,Piemonte
CANEGRATE,S01034,Lombardia
CANELLI,S00832,Piemonte
CANETRA,S07429,Lazio
CANICATTI`,S12375,Sicilia
CANIGA,S12812,Sardegna
CANISTRO,S08812,
CANNARA,S07009,Umbria
CANNE DELLA BATTAGLIA,S11406,Puglia
CANNETO SULL`OGLIO,S01848,Lombardia
CANOSA DI PUGLIA,S11402,Puglia
CANTALUPO DEL SANNIO,S09451,Molise
CANTU`,S01451,Lombardia
CANTU`- CERMENATE,S01313,Lombardia
CANZO,S01099,
CAORSO,S01970,Emilia Romagna
CAPACCIO ROCCADASPIDE,S11702,Campania
CAPACI,S12128,Sicilia
CAPALBIO,S08006,Toscana
CAPANNELLE,S08672,Lazio
CAPISTRELLO,S08850,Abruzzo
CAPO BONIFATI,S11734,Calabria
CAPO DI PONTE,N00229,
CAPO D`ORLANDO-NASO,S12030,Sicilia
CAPO SPARTIVENTO,S11858,Calabria
CAPOCROCE,S08804,
CAPODACQUA PIEVE FANONICA,S07215,Umbria
CAPOLONA,S06083,
CAPPELLE-MAGLIANO,S08525,Abruzzo
CAPRALBA,S01603,Lombardia
CAPRANICA,S08311,Lazio
CAPRAROLA,S08110,Lazio
CAPRIATI AL VOLTURNO,S09061,Molise
CAPRIOLO,S01622,Lombardia
CAPRIVA,S03301,Friuli-Venezia Giulia
CAPUA,S09208,Campania
CARATE-CALO`,S01486,Lombardia
CARAVAGGIO,S01602,Lombardia
CARBONA,S05120,Emilia Romagna
CARBONARA SCRIVIA,S04300,Piemonte
CARBONIA SERBARIU,S12818,Sardegna
CARBONIA STATO,S12972,
CARDILLO ZEN,S12140,Sicilia
CARENTINO,S00839,Piemonte
CARIATI,S11818,Calabria
CARIMATE,S01315,Lombardia
CARINI,S12127,Sicilia
CARINI TORRE CIACHEA,S12799,Sicilia
CARISIO,S00055,Piemonte
CARMAGNOLA,S00601,Piemonte
CARMIGNANO DI BRENTA,S02532,Veneto
CARNATE USMATE,S01511,Lombardia
CARNIA,S03016,Friuli-Venezia Giulia
CARONIA,S12025,Sicilia
CARONNO PERTUSELLA,S01076,
CAROVIGNO,S11133,Puglia
CAROVILLI-ROCCASICURA,S08914,Molise
CARPANE`VALSTAGNA,S02502,Veneto
CARPI,S02349,Emilia Romagna
CARPIGNANO SESIA,S00971,Piemonte
CARPINONE,S09050,Molise
CARRARA AVENZA,S06005,Toscana
CARRITO-ORTONA,S08533,Abruzzo
CARRUBA,S12326,Sicilia
CARRU` CLAVESANA,S00738,Piemonte
CARSOLI,S08519,Abruzzo
CARUGO - GIUSSANO,S01091,
CASABIANCA,S08730,Lazio
CASACALENDA GUARDIALFIERA,S09465,Molise
CASAL SABINI,S11309,Puglia
CASALBORDINO POLLUTRI,S07821,Abruzzo
CASALBUONO,S09910,Campania
CASALBUTTANO,S01609,Lombardia
CASALE MONFERRATO,S00314,Piemonte
CASALE POPOLO,S00179,Piemonte
CASALECCHIO DI RENO,S05101,Emilia Romagna
CASALECCHIO GARIBALDI,S05111,Emilia Romagna
CASALEGGIO,S00972,Piemonte
CASALETTO,S09922,
CASALETTO VAPRIO,S01604,Lombardia
CASALMAGGIORE,S01850,Lombardia
CASALNUOVO,S09216,Campania
CASALPUSTERLENGO,S01827,Lombardia
CASANOVA KAISERAU,S02059,
CASARSA,S02830,Friuli-Venezia Giulia
CASCINA,S06505,Toscana
CASELLE,S00087,
CASELLE AEROPORTO,S00088,
CASERTA,S09211,Campania
CASINO DI TERRA,S06751,Toscana
CASLETTO-ROGENO,S01457,Lombardia
CASLINO AL PIANO,N00037,
CASLINO D'ERBA,S01098,
CASOLI,S07991,
CASORATE SEMPIONE,S01029,Lombardia
CASORIA,S09009,Campania
CASSAGO-NIBIONNO-BULCIAGO,S01490,Lombardia
CASSANO ALL`IONIO,S11900,Calabria
CASSANO D`ADDA,S01707,Lombardia
CASSANO IRPINO,S09611,Campania
CASSINE,S00864,Piemonte
CASSINO,S08671,Lazio
CASSOLA,S02506,Veneto
CASTAGNARO,S02368,Veneto
CASTAGNETO CARDUCCI,S06029,Toscana
CASTAGNO,S05122,Toscana
CASTAGNOLE DELLE LANZE,S00828,Piemonte
CASTANO PRIMO,N00050,
CASTEGGIO,S01942,Lombardia
CASTEGNATO,N00204,
CASTEL BAGNOLO DI ORTE,S08114,Lazio
CASTEL DI SANGRO,S08910,Abruzzo
CASTEL D`ARIO,S02382,Lombardia
CASTEL FRENTANO,S07987,
CASTEL GANDOLFO,S08703,Lazio
CASTEL LAGOPESOLE,S11212,Basilicata
CASTEL MADAMA,S08510,Lazio
CASTEL S.ANGELO,S07407,Lazio
CASTEL S.GIORGIO ROCCAPIEMONTE,S09704,Campania
CASTEL S.GIOVANNI,S01948,Emilia Romagna
CASTEL S.PIETRO TERME,S05053,Emilia Romagna
CASTELBELLO,S02208,Trentino Alto Adige
CASTELBOLOGNESE,S05056,Emilia Romagna
CASTELBUONO,S12020,Sicilia
CASTELDACCIA,S12010,Sicilia
"CASTELDARNE ",S02105,Trentino Alto Adige
CASTELDEBOLE,S05102,Emilia Romagna
CASTELFERRETTI,S07200,Marche
CASTELFIORENTINO,S06802,Toscana
CASTELFRANCI,S09609,Campania
CASTELFRANCO D'EMILIA,S05037,Emilia Romagna
CASTELFRANCO IN MISCANO,S09323,
CASTELFRANCO VENETO,S02537,Veneto
CASTELGUELFO,S05012,Emilia Romagna
CASTELLALTO CANZANO,S07901,Abruzzo
CASTELLAMMARE DEL GOLFO,S12120,Sicilia
CASTELLAMMARE DI STABIA,S09756,Campania
CASTELLANETA,S11507,
CASTELLANETA MARINA,S11463,Puglia
CASTELLANZA,S01136,
CASTELLAZZO CASALCERMELLI,S04000,Piemonte
CASTELLEONE,S01606,Lombardia
CASTELLETTO BUSCA,S00720,Piemonte
CASTELLETTO TICINO,S01123,Piemonte
CASTELLINA CH,S06808,Toscana
CASTELLINA MARITTIMA,S06024,Toscana
CASTELLINO TANARO,S00741,Piemonte
CASTELLO DI GODEGO,S02507,Veneto
CASTELLO D`ANNONE,S00465,Piemonte
CASTELLUCCHIO,S01923,Lombardia
CASTELLUCCIO,S09920,
CASTELL`ALFERO,S00343,Piemonte
CASTELMAGGIORE,S05724,Emilia Romagna
CASTELNUOVO,S02093,Veneto
CASTELNUOVO BELBO,S00836,Piemonte
CASTELNUOVO BERARDENGA,S06812,Toscana
CASTELNUOVO DI GARFAGNANA,S06300,Toscana
CASTELPLANIO CUPRAMONTANA,S07204,Marche
CASTELRAIMONDO CAMERINO,S07302,Marche
CASTELROSSO,S00233,Piemonte
CASTELSPINA PORTANOVA,S04001,Piemonte
CASTELVECCHIO PASCOLI,S06302,Toscana
CASTELVETERE,S09608,Campania
CASTELVETRANO,S12113,Sicilia
CASTELVETRO,S01960,Emilia Romagna
CASTIGLION DEL LAGO,S06923,Umbria
CASTIGLION FIORENTINO,S06920,Toscana
CASTIGLIONCELLO,S06729,Toscana
CASTIGLIONE COSENTINO,S11909,Calabria
CASTIGLIONE DI SICILIA,S12362,Sicilia
CASTIGLIONE IN TEVERINA,S08205,Umbria
CASTIONE ANDEVENNO,S01429,Lombardia
CASTIONE DEI MARCHESI,S01964,Emilia Romagna
CASTRO-POFI,S08663,Lazio
CASTRONNO,S01208,Lombardia
CATANIA ACQUICELLA,S12337,Sicilia
CATANIA CENTRALE,S12332,Sicilia
CATANIA OGNINA,S12331,Sicilia
CATANZARO,S11956,Calabria
CATANZARO LIDO,S11833,Calabria
CATENANUOVA,S12244,Sicilia
CATTOLICA S.GIOVANNI GABICCE,S07102,Emilia Romagna
CAULONIA,S11846,Calabria
CAVA CARBONARA,S00279,Lombardia
CAVA DEI TIRRENI,S09816,Campania
CAVA MANARA,S01804,Lombardia
CAVA TIGOZZI,S01914,Lombardia
CAVAGNOLO BRUSASCO,S00423,Piemonte
CAVALLEGGERI AOSTA,S09113,Campania
CAVALLERMAGGIORE,S00603,Piemonte
CAVANELLA D`ADIGE,S05425,Veneto
CAVANELLA PO,S05422,Veneto
CAVARIA OGGIONA JERAGO,S01210,Lombardia
CAVAZZALE,S02147,Veneto
CAVI,S04724,Liguria
CAZZAGO S. MARTINO,N00238,
CA` DI BOSCHETTI,S06044,Liguria
CECCANO,S08664,Lazio
CECCHINA,S08732,Lazio
CECINA,S06026,Toscana
CEDEGOLO,N00231,
CEFALU`,S12019,Sicilia
CEGGIA,S02665,Veneto
CELANO-OVINDOLI,S08528,Abruzzo
CELLE,S04530,Liguria
CELLE BULGHERIA ROCCAGLORIOSA,S11716,Campania
CENGIO,S00745,Liguria
CENTALLO,S00608,Piemonte
CENTOLA,S11715,Campania
CEPRANO-FALVATERRA,S08666,Lazio
CERBERE,S78500,
CERCENASCO,S00541,Piemonte
CERCHIO,S08530,Abruzzo
CERCINA,S06956,Toscana
CERDA,S12200,Sicilia
CEREA,S02364,Veneto
CEREGNANO,S05417,Veneto
CERIALE,S04517,Liguria
CERIANO LAGHETTO SOLARO,N00248,
CERIGNOLA,S11103,Puglia
CERLANO LAGHETTO,S01934,
CERNUSCO-MERATE,S01513,Lombardia
CERRETO D`ESI,S07300,Marche
CERTALDO,S06803,Toscana
CERTOSA DI PAVIA,S01803,Lombardia
CERVARO,S11200,Puglia
CERVIA-MILANO MARITTIMA,S05814,Emilia Romagna
CERVIGNANO A.G.,S03207,Friuli-Venezia Giulia
CERVIGNASCO,S00546,Piemonte
CERVINARA,S09015,
CERVO SAN BARTOLOMEO,S04512,Liguria
CESANO BOSCONE,S01112,
